|  time  | address  | load |  in   |  out  |
| 64+    |      664 |    1 | 32238 |     0 |
| 65     |      664 |    1 | 32238 | 32238 |
| 65+    |    24930 |    1 | 27093 |     0 |
| 66     |    24930 |    1 | 27093 | 27093 |
| 66+    |    19097 |    0 | 27093 |     0 |
| 67     |    19097 |    0 | 27093 |     0 |
| 67+    |    23353 |    0 | 27093 |     0 |
| 68     |    23353 |    0 | 27093 |     0 |
| 68+    |    31540 |    0 | 27093 |     0 |
| 69     |    31540 |    0 | 27093 |     0 |
| 69+    |    18542 |    1 | 28923 |     0 |
| 70     |    18542 |    1 | 28923 | 28923 |
| 70+    |     9340 |    0 | 28923 |     0 |
| 71     |     9340 |    0 | 28923 |     0 |
| 71+    |    27596 |    1 |  2419 |     0 |
| 72     |    27596 |    1 |  2419 |  2419 |
| 72+    |     9600 |    1 | 13539 |     0 |
| 73     |     9600 |    1 | 13539 | 13539 |
| 73+    |    32067 |    1 |  7794 |     0 |
| 74     |    32067 |    1 |  7794 |  7794 |
| 74+    |      751 |    1 | 13767 |     0 |
| 75     |      751 |    1 | 13767 | 13767 |
| 75+    |    15906 |    1 | 28280 |     0 |
| 76     |    15906 |    1 | 28280 | 28280 |
| 76+    |    14185 |    0 | 28280 |     0 |
| 77     |    14185 |    0 | 28280 |     0 |
| 77+    |     7321 |    0 | 28280 |     0 |
| 78     |     7321 |    0 | 28280 |     0 |
| 78+    |    25923 |    1 | 20424 |     0 |
| 79     |    25923 |    1 | 20424 | 20424 |
| 79+    |    17380 |    1 | 19193 |     0 |
| 80     |    17380 |    1 | 19193 | 19193 |
| 80+    |    23674 |    1 | 17603 |     0 |
| 81     |    23674 |    1 | 17603 | 17603 |
| 81+    |     2342 |    0 | 17603 |     0 |
| 82     |     2342 |    0 | 17603 |     0 |
| 82+    |    32528 |    0 | 17603 |     0 |
| 83     |    32528 |    0 | 17603 |     0 |
| 83+    |     2549 |    0 | 17603 |     0 |
| 84     |     2549 |    0 | 17603 |     0 |
| 84+    |    14263 |    0 | 17603 |     0 |
