|  time  | address  | load |  in   |  out  |
| 0+     |    15999 |    1 |  2778 |     0 |
| 1      |    15999 |    1 |  2778 |  2778 |
| 1+     |     9362 |    0 |  2778 |     0 |
| 2      |     9362 |    0 |  2778 |     0 |
| 2+     |    13581 |    0 |  2778 |     0 |
| 3      |    13581 |    0 |  2778 |     0 |
| 3+     |    13641 |    0 |  2778 |     0 |
| 4      |    13641 |    0 |  2778 |     0 |
| 4+     |     4181 |    0 |  2778 |     0 |
| 5      |     4181 |    0 |  2778 |     0 |
| 5+     |    11431 |    0 |  2778 |     0 |
| 6      |    11431 |    0 |  2778 |     0 |
| 6+     |     2220 |    0 |  2778 |     0 |
| 7      |     2220 |    0 |  2778 |     0 |
| 7+     |    10194 |    1 | 24286 |     0 |
| 8      |    10194 |    1 | 24286 | 24286 |
| 8+     |     7418 |    1 |  2916 |     0 |
| 9      |     7418 |    1 |  2916 |  2916 |
| 9+     |     7797 |    0 |  2916 |     0 |
| 10     |     7797 |    0 |  2916 |     0 |
| 10+    |    12526 |    0 |  2916 |     0 |
| 11     |    12526 |    0 |  2916 |     0 |
| 11+    |    10749 |    1 | 30495 |     0 |
| 12     |    10749 |    1 | 30495 | 30495 |
| 12+    |     5920 |    1 |  3743 |     0 |
| 13     |     5920 |    1 |  3743 |  3743 |
| 13+    |     4713 |    1 |  9840 |     0 |
| 14     |     4713 |    1 |  9840 |  9840 |
| 14+    |    11441 |    1 | 14654 |     0 |
| 15     |    11441 |    1 | 14654 | 14654 |
| 15+    |     9498 |    0 | 14654 |     0 |
| 16     |     9498 |    0 | 14654 |     0 |
| 16+    |     8719 |    1 |   238 |     0 |
| 17     |     8719 |    1 |   238 |   238 |
| 17+    |    12438 |    0 |   238 |     0 |
| 18     |    12438 |    0 |   238 |     0 |
| 18+    |    15745 |    0 |   238 |     0 |
| 19     |    15745 |    0 |   238 |     0 |
| 19+    |      726 |    1 | 19534 |     0 |
| 20     |      726 |    1 | 19534 | 19534 |
| 20+    |     5567 |    0 | 19534 |     0 |
| 21     |     5567 |    0 | 19534 |     0 |
| 21+    |    10682 |    1 | 28047 |     0 |
| 22     |    10682 |    1 | 28047 | 28047 |
| 22+    |     5268 |    0 | 28047 |     0 |
| 23     |     5268 |    0 | 28047 |     0 |
| 23+    |     7563 |    1 |  1038 |     0 |
| 24     |     7563 |    1 |  1038 |  1038 |
| 24+    |     4125 |    0 |  1038 |     0 |
| 25     |     4125 |    0 |  1038 |     0 |
| 25+    |     2328 |    1 |  7120 |     0 |
| 26     |     2328 |    1 |  7120 |  7120 |
| 26+    |     9547 |    0 |  7120 |     0 |
| 27     |     9547 |    0 |  7120 |     0 |
| 27+    |     2949 |    0 |  7120 |     0 |
| 28     |     2949 |    0 |  7120 |     0 |
| 28+    |     5306 |    0 |  7120 |     0 |
| 29     |     5306 |    0 |  7120 |     0 |
| 29+    |     3024 |    0 |  7120 |     0 |
| 30     |     3024 |    0 |  7120 |     0 |
| 30+    |    13101 |    0 |  7120 |     0 |
| 31     |    13101 |    0 |  7120 |     0 |
| 31+    |      544 |    0 |  7120 |     0 |
| 32     |      544 |    0 |  7120 |     0 |
| 32+    |     3055 |    0 |  7120 |     0 |
| 33     |     3055 |    0 |  7120 |     0 |
| 33+    |     7130 |    1 | 17877 |     0 |
| 34     |     7130 |    1 | 17877 | 17877 |
| 34+    |     8533 |    0 | 17877 |     0 |
| 35     |     8533 |    0 | 17877 |     0 |
| 35+    |     9076 |    1 | 15763 |     0 |
| 36     |     9076 |    1 | 15763 | 15763 |
| 36+    |     7163 |    1 | 31936 |     0 |
| 37     |     7163 |    1 | 31936 | 31936 |
| 37+    |    12021 |    1 | 15710 |     0 |
| 38     |    12021 |    1 | 15710 | 15710 |
| 38+    |     8543 |    1 |  6992 |     0 |
| 39     |     8543 |    1 |  6992 |  6992 |
| 39+    |     5681 |    0 |  6992 |     0 |
| 40     |     5681 |    0 |  6992 |     0 |
| 40+    |     2409 |    1 |  3179 |     0 |
| 41     |     2409 |    1 |  3179 |  3179 |
| 41+    |     6779 |    1 | 25994 |     0 |
| 42     |     6779 |    1 | 25994 | 25994 |
| 42+    |    14770 |    0 | 25994 |     0 |
| 43     |    14770 |    0 | 25994 |     0 |
| 43+    |     8191 |    0 | 25994 |     0 |
| 44     |     8191 |    0 | 25994 |     0 |
| 44+    |     5016 |    1 |  5442 |     0 |
| 45     |     5016 |    1 |  5442 |  5442 |
| 45+    |    12640 |    1 |  7480 |     0 |
| 46     |    12640 |    1 |  7480 |  7480 |
| 46+    |     9169 |    0 |  7480 |     0 |
| 47     |     9169 |    0 |  7480 |     0 |
| 47+    |    14107 |    1 | 14833 |     0 |
| 48     |    14107 |    1 | 14833 | 14833 |
| 48+    |     9015 |    0 | 14833 |     0 |
| 49     |     9015 |    0 | 14833 |     0 |
| 49+    |     7605 |    0 | 14833 |     0 |
| 50     |     7605 |    0 | 14833 |     0 |
| 50+    |     1064 |    1 |  3396 |     0 |
| 51     |     1064 |    1 |  3396 |  3396 |
| 51+    |     8960 |    0 |  3396 |     0 |
| 52     |     8960 |    0 |  3396 |     0 |
| 52+    |     9931 |    0 |  3396 |     0 |
| 53     |     9931 |    0 |  3396 |     0 |
| 53+    |     2296 |    0 |  3396 |     0 |
| 54     |     2296 |    0 |  3396 |     0 |
| 54+    |     9640 |    1 |  9976 |     0 |
| 55     |     9640 |    1 |  9976 |  9976 |
| 55+    |     8148 |    0 |  9976 |     0 |
| 56     |     8148 |    0 |  9976 |     0 |
| 56+    |     3948 |    1 | 20429 |     0 |
| 57     |     3948 |    1 | 20429 | 20429 |
| 57+    |     2144 |    0 | 20429 |     0 |
| 58     |     2144 |    0 | 20429 |     0 |
| 58+    |    12927 |    1 | 19308 |     0 |
| 59     |    12927 |    1 | 19308 | 19308 |
| 59+    |    15504 |    1 |  2048 |     0 |
| 60     |    15504 |    1 |  2048 |  2048 |
| 60+    |     7740 |    1 | 21608 |     0 |
| 61     |     7740 |    1 | 21608 | 21608 |
| 61+    |     9304 |    0 | 21608 |     0 |
| 62     |     9304 |    0 | 21608 |     0 |
| 62+    |    14572 |    1 | 24640 |     0 |
| 63     |    14572 |    1 | 24640 | 24640 |
| 63+    |    15336 |    1 |  7621 |     0 |
| 64     |    15336 |    1 |  7621 |  7621 |
| 64+    |     6793 |    0 |  7621 |     0 |
| 65     |     6793 |    0 |  7621 |     0 |
| 65+    |     2297 |    1 |  8185 |     0 |
| 66     |     2297 |    1 |  8185 |  8185 |
| 66+    |    14366 |    0 |  8185 |     0 |
| 67     |    14366 |    0 |  8185 |     0 |
| 67+    |     8526 |    1 | 12063 |     0 |
| 68     |     8526 |    1 | 12063 | 12063 |
| 68+    |    13903 |    1 | 10692 |     0 |
| 69     |    13903 |    1 | 10692 | 10692 |
| 69+    |    12622 |    1 | 32204 |     0 |
| 70     |    12622 |    1 | 32204 | 32204 |
| 70+    |     9350 |    1 | 32370 |     0 |
| 71     |     9350 |    1 | 32370 | 32370 |
| 71+    |     5050 |    1 |  1240 |     0 |
| 72     |     5050 |    1 |  1240 |  1240 |
| 72+    |    14366 |    1 | 28493 |     0 |
| 73     |    14366 |    1 | 28493 | 28493 |
| 73+    |    11816 |    1 | 29314 |     0 |
| 74     |    11816 |    1 | 29314 | 29314 |
| 74+    |     6678 |    0 | 29314 |     0 |
| 75     |     6678 |    0 | 29314 |     0 |
