|  time  | address  | load |  in   |  out  |
| 75+    |     5526 |    0 | 29314 |     0 |
| 76     |     5526 |    0 | 29314 |     0 |
| 76+    |    11801 |    1 |  3209 |     0 |
| 77     |    11801 |    1 |  3209 |  3209 |
| 77+    |      772 |    0 |  3209 |     0 |
| 78     |      772 |    0 |  3209 |     0 |
| 78+    |    15471 |    1 |  1490 |     0 |
| 79     |    15471 |    1 |  1490 |  1490 |
| 79+    |    13922 |    1 |  8119 |     0 |
| 80     |    13922 |    1 |  8119 |  8119 |
| 80+    |    10455 |    0 |  8119 |     0 |
| 81     |    10455 |    0 |  8119 |     0 |
| 81+    |     5260 |    0 |  8119 |     0 |
| 82     |     5260 |    0 |  8119 |     0 |
| 82+    |    16056 |    0 |  8119 |     0 |
| 83     |    16056 |    0 |  8119 |     0 |
| 83+    |     7289 |    0 |  8119 |     0 |
| 84     |     7289 |    0 |  8119 |     0 |
| 84+    |     2910 |    1 |  5827 |     0 |
| 85     |     2910 |    1 |  5827 |  5827 |
| 85+    |      644 |    1 | 18949 |     0 |
| 86     |      644 |    1 | 18949 | 18949 |
| 86+    |    14426 |    0 | 18949 |     0 |
| 87     |    14426 |    0 | 18949 |     0 |
| 87+    |     8555 |    1 |  2727 |     0 |
| 88     |     8555 |    1 |  2727 |  2727 |
| 88+    |     4816 |    1 |  5759 |     0 |
| 89     |     4816 |    1 |  5759 |  5759 |
| 89+    |     5195 |    1 |  4834 |     0 |
| 90     |     5195 |    1 |  4834 |  4834 |
| 90+    |    13844 |    1 | 16318 |     0 |
| 91     |    13844 |    1 | 16318 | 16318 |
| 91+    |     4246 |    0 | 16318 |     0 |
| 92     |     4246 |    0 | 16318 |     0 |
| 92+    |    13362 |    0 | 16318 |     0 |
| 93     |    13362 |    0 | 16318 |     0 |
| 93+    |     1432 |    1 |  9228 |     0 |
| 94     |     1432 |    1 |  9228 |  9228 |
| 94+    |     7271 |    1 |  3317 |     0 |
| 95     |     7271 |    1 |  3317 |  3317 |
| 95+    |    15559 |    1 | 26467 |     0 |
| 96     |    15559 |    1 | 26467 | 26467 |
| 96+    |     7392 |    0 | 26467 |     0 |
| 97     |     7392 |    0 | 26467 |     0 |
| 97+    |      761 |    1 | 21034 |     0 |
| 98     |      761 |    1 | 21034 | 21034 |
| 98+    |     6548 |    1 | 11784 |     0 |
| 99     |     6548 |    1 | 11784 | 11784 |
| 99+    |    13950 |    0 | 11784 |     0 |
| 100    |    13950 |    0 | 11784 |     0 |
| 100+   |     7451 |    0 | 11784 |     0 |
| 101    |     7451 |    0 | 11784 |     0 |
| 101+   |     9638 |    1 | 30299 |     0 |
| 102    |     9638 |    1 | 30299 | 30299 |
| 102+   |     2574 |    1 |  2306 |     0 |
| 103    |     2574 |    1 |  2306 |  2306 |
| 103+   |     4789 |    0 |  2306 |     0 |
| 104    |     4789 |    0 |  2306 |     0 |
| 104+   |    15950 |    1 | 30931 |     0 |
| 105    |    15950 |    1 | 30931 | 30931 |
| 105+   |    13369 |    0 | 30931 |     0 |
| 106    |    13369 |    0 | 30931 |     0 |
| 106+   |     8438 |    0 | 30931 |     0 |
| 107    |     8438 |    0 | 30931 |     0 |
| 107+   |     3504 |    0 | 30931 |     0 |
| 108    |     3504 |    0 | 30931 |     0 |
| 108+   |      880 |    1 | 29735 |     0 |
| 109    |      880 |    1 | 29735 | 29735 |
| 109+   |    16259 |    1 | 30072 |     0 |
| 110    |    16259 |    1 | 30072 | 30072 |
| 110+   |    10533 |    0 | 30072 |     0 |
| 111    |    10533 |    0 | 30072 |     0 |
| 111+   |    11178 |    0 | 30072 |     0 |
| 112    |    11178 |    0 | 30072 |     0 |
| 112+   |     5574 |    1 | 24439 |     0 |
| 113    |     5574 |    1 | 24439 | 24439 |
| 113+   |     6823 |    0 | 24439 |     0 |
| 114    |     6823 |    0 | 24439 |     0 |
| 114+   |    11628 |    1 | 16454 |     0 |
| 115    |    11628 |    1 | 16454 | 16454 |
| 115+   |      753 |    0 | 16454 |     0 |
| 116    |      753 |    0 | 16454 |     0 |
| 116+   |     7050 |    0 | 16454 |     0 |
| 117    |     7050 |    0 | 16454 |     0 |
| 117+   |     1474 |    1 | 27167 |     0 |
| 118    |     1474 |    1 | 27167 | 27167 |
| 118+   |    15173 |    0 | 27167 |     0 |
| 119    |    15173 |    0 | 27167 |     0 |
| 119+   |    13407 |    1 | 17165 |     0 |
| 120    |    13407 |    1 | 17165 | 17165 |
| 120+   |    11851 |    0 | 17165 |     0 |
| 121    |    11851 |    0 | 17165 |     0 |
| 121+   |    10396 |    0 | 17165 |     0 |
| 122    |    10396 |    0 | 17165 |     0 |
| 122+   |      744 |    0 | 17165 |     0 |
| 123    |      744 |    0 | 17165 |     0 |
| 123+   |    14492 |    1 | 20206 |     0 |
| 124    |    14492 |    1 | 20206 | 20206 |
| 124+   |    11993 |    0 | 20206 |     0 |
| 125    |    11993 |    0 | 20206 |     0 |
| 125+   |    15936 |    1 | 19311 |     0 |
| 126    |    15936 |    1 | 19311 | 19311 |
| 126+   |    16146 |    0 | 19311 |     0 |
| 127    |    16146 |    0 | 19311 |     0 |
| 127+   |     8565 |    0 | 19311 |     0 |
| 128    |     8565 |    0 | 19311 |     0 |
| 128+   |    10350 |    1 |  2548 |     0 |
| 129    |    10350 |    1 |  2548 |  2548 |
| 129+   |     3182 |    1 | 30949 |     0 |
| 130    |     3182 |    1 | 30949 | 30949 |
| 130+   |    11508 |    1 | 25944 |     0 |
| 131    |    11508 |    1 | 25944 | 25944 |
| 131+   |     1590 |    1 | 11879 |     0 |
| 132    |     1590 |    1 | 11879 | 11879 |
| 132+   |     4740 |    0 | 11879 |     0 |
| 133    |     4740 |    0 | 11879 |     0 |
| 133+   |     4988 |    0 | 11879 |     0 |
| 134    |     4988 |    0 | 11879 |     0 |
| 134+   |    11697 |    0 | 11879 |     0 |
| 135    |    11697 |    0 | 11879 |     0 |
| 135+   |     5592 |    0 | 11879 |     0 |
| 136    |     5592 |    0 | 11879 |     0 |
| 136+   |     2339 |    1 | 19083 |     0 |
| 137    |     2339 |    1 | 19083 | 19083 |
| 137+   |    15962 |    1 | 14117 |     0 |
| 138    |    15962 |    1 | 14117 | 14117 |
| 138+   |    16366 |    0 | 14117 |     0 |
| 139    |    16366 |    0 | 14117 |     0 |
| 139+   |    15888 |    0 | 14117 |     0 |
| 140    |    15888 |    0 | 14117 |     0 |
| 140+   |     3975 |    0 | 14117 |     0 |
| 141    |     3975 |    0 | 14117 |     0 |
| 141+   |     1599 |    0 | 14117 |     0 |
| 142    |     1599 |    0 | 14117 |     0 |
| 142+   |    11499 |    1 | 30994 |     0 |
| 143    |    11499 |    1 | 30994 | 30994 |
| 143+   |     3917 |    1 |  2592 |     0 |
| 144    |     3917 |    1 |  2592 |  2592 |
| 144+   |    13342 |    1 | 24979 |     0 |
| 145    |    13342 |    1 | 24979 | 24979 |
| 145+   |     1183 |    0 | 24979 |     0 |
| 146    |     1183 |    0 | 24979 |     0 |
| 146+   |     2399 |    1 |  7609 |     0 |
| 147    |     2399 |    1 |  7609 |  7609 |
| 147+   |    12049 |    0 |  7609 |     0 |
| 148    |    12049 |    0 |  7609 |     0 |
| 148+   |    13159 |    1 | 29155 |     0 |
| 149    |    13159 |    1 | 29155 | 29155 |
| 149+   |    10984 |    0 | 29155 |     0 |
| 150    |    10984 |    0 | 29155 |     0 |
| 150+   |     6652 |    1 | 17259 |     0 |
| 151    |     6652 |    1 | 17259 | 17259 |
| 151+   |     2045 |    1 | 26819 |     0 |
| 152    |     2045 |    1 | 26819 | 26819 |
| 152+   |     5125 |    0 | 26819 |     0 |
| 153    |     5125 |    0 | 26819 |     0 |
| 153+   |     5639 |    1 | 18948 |     0 |
| 154    |     5639 |    1 | 18948 | 18948 |
| 154+   |     5790 |    1 | 27060 |     0 |
| 155    |     5790 |    1 | 27060 | 27060 |
| 155+   |     4538 |    1 | 25335 |     0 |
| 156    |     4538 |    1 | 25335 | 25335 |
| 156+   |     4664 |    1 | 29796 |     0 |
| 157    |     4664 |    1 | 29796 | 29796 |
| 157+   |      242 |    0 | 29796 |     0 |
| 158    |      242 |    0 | 29796 |     0 |
| 158+   |     4314 |    0 | 29796 |     0 |
| 159    |     4314 |    0 | 29796 |     0 |
| 159+   |    13703 |    1 | 12808 |     0 |
| 160    |    13703 |    1 | 12808 | 12808 |
| 160+   |     5363 |    1 |  9628 |     0 |
| 161    |     5363 |    1 |  9628 |  9628 |
| 161+   |     8198 |    0 |  9628 |     0 |
| 162    |     8198 |    0 |  9628 |     0 |
| 162+   |     7547 |    0 |  9628 |     0 |
| 163    |     7547 |    0 |  9628 |     0 |
| 163+   |     9312 |    1 | 30550 |     0 |
| 164    |     9312 |    1 | 30550 | 30550 |
| 164+   |     4687 |    1 | 22350 |     0 |
| 165    |     4687 |    1 | 22350 | 22350 |
| 165+   |    13919 |    1 | 26835 |     0 |
| 166    |    13919 |    1 | 26835 | 26835 |
| 166+   |    14471 |    0 | 26835 |     0 |
| 167    |    14471 |    0 | 26835 |     0 |
| 167+   |     5254 |    0 | 26835 |     0 |
| 168    |     5254 |    0 | 26835 |     0 |
| 168+   |      609 |    1 | 15687 |     0 |
| 169    |      609 |    1 | 15687 | 15687 |
| 169+   |     2976 |    0 | 15687 |     0 |
| 170    |     2976 |    0 | 15687 |     0 |
| 170+   |    10209 |    1 | 13866 |     0 |
| 171    |    10209 |    1 | 13866 | 13866 |
| 171+   |     6680 |    0 | 13866 |     0 |
| 172    |     6680 |    0 | 13866 |     0 |
| 172+   |     1408 |    1 | 23499 |     0 |
| 173    |     1408 |    1 | 23499 | 23499 |
| 173+   |      389 |    1 | 16344 |     0 |
| 174    |      389 |    1 | 16344 | 16344 |
| 174+   |    14381 |    1 |  4279 |     0 |
| 175    |    14381 |    1 |  4279 |  4279 |
| 175+   |    11794 |    0 |  4279 |     0 |
| 176    |    11794 |    0 |  4279 |     0 |
| 176+   |     7986 |    0 |  4279 |     0 |
| 177    |     7986 |    0 |  4279 |     0 |
| 177+   |     7326 |    1 | 11140 |     0 |
| 178    |     7326 |    1 | 11140 | 11140 |
| 178+   |    12182 |    0 | 11140 |     0 |
| 179    |    12182 |    0 | 11140 |     0 |
| 179+   |     5091 |    0 | 11140 |     0 |
| 180    |     5091 |    0 | 11140 |     0 |
| 180+   |    15745 |    1 | 23359 |     0 |
| 181    |    15745 |    1 | 23359 | 23359 |
| 181+   |    10341 |    0 | 23359 |     0 |
| 182    |    10341 |    0 | 23359 |     0 |
| 182+   |     8793 |    0 | 23359 |     0 |
| 183    |     8793 |    0 | 23359 |     0 |
| 183+   |     7236 |    1 | 28486 |     0 |
| 184    |     7236 |    1 | 28486 | 28486 |
| 184+   |    14663 |    1 | 32657 |     0 |
| 185    |    14663 |    1 | 32657 | 32657 |
| 185+   |     8952 |    1 | 27048 |     0 |
| 186    |     8952 |    1 | 27048 | 27048 |
| 186+   |    13302 |    0 | 27048 |     0 |
| 187    |    13302 |    0 | 27048 |     0 |
| 187+   |     6427 |    0 | 27048 |     0 |
| 188    |     6427 |    0 | 27048 |     0 |
| 188+   |      323 |    0 | 27048 |     0 |
| 189    |      323 |    0 | 27048 |     0 |
| 189+   |    15141 |    0 | 27048 |     0 |
| 190    |    15141 |    0 | 27048 |     0 |
| 190+   |     2036 |    0 | 27048 |     0 |
| 191    |     2036 |    0 | 27048 |     0 |
| 191+   |    11577 |    0 | 27048 |     0 |
| 192    |    11577 |    0 | 27048 |     0 |
| 192+   |     7250 |    1 | 22537 |     0 |
| 193    |     7250 |    1 | 22537 | 22537 |
| 193+   |     1427 |    1 | 15839 |     0 |
| 194    |     1427 |    1 | 15839 | 15839 |
| 194+   |    14470 |    0 | 15839 |     0 |
| 195    |    14470 |    0 | 15839 |     0 |
| 195+   |     1835 |    0 | 15839 |     0 |
| 196    |     1835 |    0 | 15839 |     0 |
| 196+   |    10283 |    1 |  8182 |     0 |
| 197    |    10283 |    1 |  8182 |  8182 |
| 197+   |     4638 |    0 |  8182 |     0 |
| 198    |     4638 |    0 |  8182 |     0 |
| 198+   |    13293 |    0 |  8182 |     0 |
| 199    |    13293 |    0 |  8182 |     0 |
| 199+   |     6291 |    0 |  8182 |     0 |
| 200    |     6291 |    0 |  8182 |     0 |
| 200+   |    10873 |    1 |  8726 |     0 |
| 201    |    10873 |    1 |  8726 |  8726 |
| 201+   |    14010 |    0 |  8726 |     0 |
| 202    |    14010 |    0 |  8726 |     0 |
| 202+   |    11868 |    0 |  8726 |     0 |
| 203    |    11868 |    0 |  8726 |     0 |
| 203+   |     8910 |    1 |  3585 |     0 |
| 204    |     8910 |    1 |  3585 |  3585 |
| 204+   |    10867 |    0 |  3585 |     0 |
| 205    |    10867 |    0 |  3585 |     0 |
| 205+   |    11291 |    0 |  3585 |     0 |
| 206    |    11291 |    0 |  3585 |     0 |
| 206+   |     2356 |    1 | 29445 |     0 |
| 207    |     2356 |    1 | 29445 | 29445 |
| 207+   |     5516 |    1 | 28166 |     0 |
| 208    |     5516 |    1 | 28166 | 28166 |
| 208+   |     1288 |    1 | 26709 |     0 |
| 209    |     1288 |    1 | 26709 | 26709 |
| 209+   |     4706 |    1 |  7452 |     0 |
| 210    |     4706 |    1 |  7452 |  7452 |
| 210+   |     7391 |    1 | 27607 |     0 |
| 211    |     7391 |    1 | 27607 | 27607 |
| 211+   |     2065 |    0 | 27607 |     0 |
| 212    |     2065 |    0 | 27607 |     0 |
| 212+   |     4414 |    1 | 17467 |     0 |
| 213    |     4414 |    1 | 17467 | 17467 |
| 213+   |    11383 |    0 | 17467 |     0 |
| 214    |    11383 |    0 | 17467 |     0 |
| 214+   |    12736 |    1 |   676 |     0 |
| 215    |    12736 |    1 |   676 |   676 |
| 215+   |     7733 |    1 | 15168 |     0 |
| 216    |     7733 |    1 | 15168 | 15168 |
| 216+   |     6721 |    0 | 15168 |     0 |
| 217    |     6721 |    0 | 15168 |     0 |
| 217+   |    10322 |    1 | 31009 |     0 |
| 218    |    10322 |    1 | 31009 | 31009 |
| 218+   |     7417 |    1 |  7070 |     0 |
| 219    |     7417 |    1 |  7070 |  7070 |
| 219+   |     1268 |    0 |  7070 |     0 |
| 220    |     1268 |    0 |  7070 |     0 |
| 220+   |    13339 |    1 | 14554 |     0 |
| 221    |    13339 |    1 | 14554 | 14554 |
| 221+   |    10096 |    0 | 14554 |     0 |
| 222    |    10096 |    0 | 14554 |     0 |
| 222+   |     3872 |    0 | 14554 |     0 |
| 223    |     3872 |    0 | 14554 |     0 |
| 223+   |     9499 |    1 |  5274 |     0 |
| 224    |     9499 |    1 |  5274 |  5274 |
| 224+   |    14638 |    1 | 10701 |     0 |
| 225    |    14638 |    1 | 10701 | 10701 |
| 225+   |    11321 |    0 | 10701 |     0 |
| 226    |    11321 |    0 | 10701 |     0 |
| 226+   |    12370 |    0 | 10701 |     0 |
| 227    |    12370 |    0 | 10701 |     0 |
| 227+   |     4817 |    0 | 10701 |     0 |
| 228    |     4817 |    0 | 10701 |     0 |
| 228+   |    12111 |    1 | 23600 |     0 |
| 229    |    12111 |    1 | 23600 | 23600 |
| 229+   |     3470 |    1 | 13751 |     0 |
| 230    |     3470 |    1 | 13751 | 13751 |
| 230+   |    15998 |    0 | 13751 |     0 |
| 231    |    15998 |    0 | 13751 |     0 |
| 231+   |     2152 |    0 | 13751 |     0 |
| 232    |     2152 |    0 | 13751 |     0 |
| 232+   |    15599 |    1 | 11871 |     0 |
| 233    |    15599 |    1 | 11871 | 11871 |
| 233+   |    13076 |    0 | 11871 |     0 |
| 234    |    13076 |    0 | 11871 |     0 |
| 234+   |    13385 |    0 | 11871 |     0 |
| 235    |    13385 |    0 | 11871 |     0 |
| 235+   |     1790 |    1 |  5460 |     0 |
| 236    |     1790 |    1 |  5460 |  5460 |
| 236+   |     7780 |    0 |  5460 |     0 |
| 237    |     7780 |    0 |  5460 |     0 |
| 237+   |     2159 |    1 | 23416 |     0 |
| 238    |     2159 |    1 | 23416 | 23416 |
| 238+   |    13624 |    0 | 23416 |     0 |
| 239    |    13624 |    0 | 23416 |     0 |
| 239+   |     1486 |    0 | 23416 |     0 |
| 240    |     1486 |    0 | 23416 |     0 |
| 240+   |    14247 |    1 |  1617 |     0 |
| 241    |    14247 |    1 |  1617 |  1617 |
| 241+   |     2934 |    1 | 11456 |     0 |
| 242    |     2934 |    1 | 11456 | 11456 |
| 242+   |    16012 |    0 | 11456 |     0 |
| 243    |    16012 |    0 | 11456 |     0 |
| 243+   |     4455 |    0 | 11456 |     0 |
| 244    |     4455 |    0 | 11456 |     0 |
| 244+   |    13756 |    0 | 11456 |     0 |
| 245    |    13756 |    0 | 11456 |     0 |
| 245+   |      656 |    0 | 11456 |     0 |
| 246    |      656 |    0 | 11456 |     0 |
| 246+   |     1075 |    1 |  3302 |     0 |
| 247    |     1075 |    1 |  3302 |  3302 |
| 247+   |     5643 |    1 | 18881 |     0 |
| 248    |     5643 |    1 | 18881 | 18881 |
| 248+   |     5364 |    1 | 23196 |     0 |
| 249    |     5364 |    1 | 23196 | 23196 |
| 249+   |    11593 |    1 | 10874 |     0 |
| 250    |    11593 |    1 | 10874 | 10874 |
| 250+   |     7228 |    1 | 29019 |     0 |
| 251    |     7228 |    1 | 29019 | 29019 |
| 251+   |    13563 |    1 | 14201 |     0 |
| 252    |    13563 |    1 | 14201 | 14201 |
| 252+   |    12406 |    1 |  2944 |     0 |
| 253    |    12406 |    1 |  2944 |  2944 |
| 253+   |      492 |    0 |  2944 |     0 |
| 254    |      492 |    0 |  2944 |     0 |
| 254+   |    11087 |    0 |  2944 |     0 |
| 255    |    11087 |    0 |  2944 |     0 |
| 255+   |     3733 |    1 | 31989 |     0 |
| 256    |     3733 |    1 | 31989 | 31989 |
| 256+   |     8594 |    1 | 24961 |     0 |
| 257    |     8594 |    1 | 24961 | 24961 |
| 257+   |     2474 |    1 | 27149 |     0 |
| 258    |     2474 |    1 | 27149 | 27149 |
| 258+   |     7970 |    0 | 27149 |     0 |
| 259    |     7970 |    0 | 27149 |     0 |
| 259+   |     4832 |    1 | 11205 |     0 |
| 260    |     4832 |    1 | 11205 | 11205 |
| 260+   |     1450 |    0 | 11205 |     0 |
| 261    |     1450 |    0 | 11205 |     0 |
| 261+   |     2070 |    0 | 11205 |     0 |
| 262    |     2070 |    0 | 11205 |     0 |
| 262+   |    11529 |    1 | 32223 |     0 |
| 263    |    11529 |    1 | 32223 | 32223 |
| 263+   |    11499 |    0 | 32223 | 30994 |
| 264    |    11499 |    0 | 32223 | 30994 |
| 264+   |    11049 |    0 | 32223 |     0 |
| 265    |    11049 |    0 | 32223 |     0 |
| 265+   |     4022 |    1 |  1989 |     0 |
| 266    |     4022 |    1 |  1989 |  1989 |
| 266+   |      193 |    0 |  1989 |     0 |
| 267    |      193 |    0 |  1989 |     0 |
| 267+   |    11816 |    1 | 14512 | 29314 |
| 268    |    11816 |    1 | 14512 | 14512 |
| 268+   |    10074 |    1 |  7058 |     0 |
| 269    |    10074 |    1 |  7058 |  7058 |
| 269+   |     7886 |    0 |  7058 |     0 |
| 270    |     7886 |    0 |  7058 |     0 |
| 270+   |    11610 |    1 | 18083 |     0 |
| 271    |    11610 |    1 | 18083 | 18083 |
| 271+   |     8296 |    1 |  9079 |     0 |
| 272    |     8296 |    1 |  9079 |  9079 |
| 272+   |     9952 |    0 |  9079 |     0 |
| 273    |     9952 |    0 |  9079 |     0 |
| 273+   |    12572 |    0 |  9079 |     0 |
| 274    |    12572 |    0 |  9079 |     0 |
| 274+   |    10071 |    1 | 23737 |     0 |
| 275    |    10071 |    1 | 23737 | 23737 |
| 275+   |    11495 |    1 | 15503 |     0 |
| 276    |    11495 |    1 | 15503 | 15503 |
| 276+   |    14112 |    1 | 15010 |     0 |
| 277    |    14112 |    1 | 15010 | 15010 |
| 277+   |     7333 |    0 | 15010 |     0 |
| 278    |     7333 |    0 | 15010 |     0 |
| 278+   |     8332 |    1 | 29021 |     0 |
| 279    |     8332 |    1 | 29021 | 29021 |
| 279+   |    14366 |    1 | 25617 | 28493 |
| 280    |    14366 |    1 | 25617 | 25617 |
| 280+   |    12462 |    1 |  5920 |     0 |
| 281    |    12462 |    1 |  5920 |  5920 |
| 281+   |      282 |    0 |  5920 |     0 |
| 282    |      282 |    0 |  5920 |     0 |
| 282+   |     6447 |    0 |  5920 |     0 |
