| time |ARegister|DRegister| RAM16K[0]  | RAM16K[1]  | RAM16K[2]  | RAM16K[3]  | RAM16K[4]  | RAM16K[5]  | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] | RAM16K[23] | RAM16K[24] | RAM16K[25] | RAM16K[26] |
| 36   |      16 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 37   |      16 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 38   |       5 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 39   |       5 |      -3 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 40   |      20 |      -3 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 41   |      20 |      -3 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 42   |      16 |      -3 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 43   |      16 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 44   |      18 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 45   |      20 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 46   |      20 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |          0 |          0 |
| 47   |      16 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |          0 |          0 |
| 48   |      16 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          0 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |          0 |          0 |
| 49   |       5 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          0 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |          0 |          0 |
| 50   |       5 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          0 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |          0 |          0 |
| 51   |      16 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          0 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |          0 |          0 |
| 52   |      16 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          0 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |          0 |          0 |
| 53   |       5 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          0 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |          0 |          0 |
| 54   |       5 |      -2 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          0 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |          0 |          0 |
| 55   |      20 |      -2 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          0 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |          0 |          0 |
| 56   |      20 |      -2 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          0 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |          0 |          0 |
| 57   |      16 |      -2 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          0 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |          0 |          0 |
| 58   |      16 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          0 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |          0 |          0 |
| 59   |      18 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          0 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |          0 |          0 |
| 60   |      21 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          0 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |          0 |          0 |
| 61   |      21 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          0 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |          0 |          0 |
| 62   |      16 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          3 |          0 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |          0 |          0 |
| 63   |      16 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          0 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |          0 |          0 |
| 64   |       5 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          0 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |          0 |          0 |
| 65   |       5 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          0 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |          0 |          0 |
| 66   |      16 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |          4 |          0 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |          0 |          0 |
