| time |ARegister|DRegister| RAM16K[0]  | RAM16K[1]  | RAM16K[2]  | RAM16K[3]  | RAM16K[4]  | RAM16K[5]  | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] | RAM16K[23] | RAM16K[24] | RAM16K[25] | RAM16K[26] |
| 36   |      16 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          2 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |
| 37   |      19 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          2 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |
| 38   |      19 |       8 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          2 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |
| 39   |      14 |       8 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          2 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |
| 40   |      14 |       8 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          2 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |
| 41   |      19 |       8 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          2 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |
| 42   |      19 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          2 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |
| 43   |      20 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          2 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |
| 44   |      22 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          2 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |
| 45   |      22 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          2 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |
| 46   |      19 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          2 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |
| 47   |      19 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          3 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |
| 48   |      16 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          3 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |
| 49   |      16 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          3 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |
| 50   |      19 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          3 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |
| 51   |      19 |       7 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          3 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |
| 52   |      14 |       7 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          3 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |
| 53   |      14 |       7 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          3 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |
| 54   |      19 |       7 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          3 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |
| 55   |      19 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          3 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |
| 56   |      20 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          3 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |
| 57   |      23 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          3 |          0 |          1 |          2 |          0 |          0 |          0 |          0 |
| 58   |      23 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          3 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |
| 59   |      19 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          3 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |
| 60   |      19 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          4 |          0 |          1 |          2 |          3 |          0 |          0 |          0 |
