| time |ARegister|DRegister| RAM16K[0]  | RAM16K[1]  | RAM16K[2]  | RAM16K[3]  | RAM16K[4]  | RAM16K[5]  | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] |
| 45   |      32 |      30 |         10 |         20 |         30 |        -10 |          0 |         30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 46   |      32 |      30 |         10 |         20 |         30 |        -10 |          0 |         30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 47   |      32 |      30 |         10 |         20 |         30 |        -10 |          0 |         30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 48   |      32 |      30 |         10 |         20 |         30 |        -10 |          0 |         30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 49   |      32 |      30 |         10 |         20 |         30 |        -10 |          0 |         30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 50   |      32 |      30 |         10 |         20 |         30 |        -10 |          0 |         30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 51   |      32 |      30 |         10 |         20 |         30 |        -10 |          0 |         30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 52   |      32 |      30 |         10 |         20 |         30 |        -10 |          0 |         30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 53   |      32 |      30 |         10 |         20 |         30 |        -10 |          0 |         30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 54   |      32 |      30 |         10 |         20 |         30 |        -10 |          0 |         30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 55   |      32 |      30 |         10 |         20 |         30 |        -10 |          0 |         30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 56   |      32 |      30 |         10 |         20 |         30 |        -10 |          0 |         30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 57   |      32 |      30 |         10 |         20 |         30 |        -10 |          0 |         30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
