| time |ARegister|DRegister| RAM16K[0]  | RAM16K[1]  | RAM16K[2]  | RAM16K[3]  | RAM16K[4]  | RAM16K[5]  | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] |
| 0    |       0 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 1    |      20 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 2    |      20 |      20 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 3    |      16 |      20 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 4    |      16 |      20 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |          0 |          0 |          0 |          0 |          0 |          0 |
| 5    |      20 |      20 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |          0 |          0 |          0 |          0 |          0 |          0 |
| 6    |      20 |      20 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |          0 |          0 |          0 |          0 |          0 |          0 |
| 7    |      17 |      20 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |          0 |          0 |          0 |          0 |          0 |          0 |
| 8    |      17 |      20 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 9    |       3 |      20 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 10   |       3 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 11   |      18 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 12   |      18 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          3 |          0 |          0 |          0 |          0 |
| 13   |      16 |       3 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          3 |          0 |          0 |          0 |          0 |
| 14   |      16 |      20 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          3 |          0 |          0 |          0 |          0 |
| 15   |      17 |      20 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          3 |          0 |          0 |          0 |          0 |
| 16   |      17 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          3 |          0 |          0 |          0 |          0 |
| 17   |      22 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          3 |          0 |          0 |          0 |          0 |
