| time |ARegister|DRegister| RAM16K[0]  | RAM16K[1]  | RAM16K[2]  | RAM16K[3]  | RAM16K[4]  | RAM16K[5]  | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] |
| 18   |      22 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          3 |          0 |          0 |          0 |          0 |
| 19   |       0 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          3 |          0 |          0 |          0 |          0 |
| 20   |       0 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          3 |          0 |          0 |          0 |          0 |
| 21   |      18 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          3 |          0 |          0 |          0 |          0 |
| 22   |      18 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 23   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 24   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 25   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 26   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 27   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 28   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 29   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 30   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 31   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 32   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 33   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 34   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 35   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 36   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 37   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 38   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 39   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 40   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 41   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
| 42   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         20 |         20 |          0 |          0 |          0 |          0 |          0 |
